Где вы находитесь?;Что вам нужно?;Сколько у вас времени?;Какой у вас бюджет?;Готовы ли вы ждать очередь?;Какая у вас погода?;Рекомендуемое место: ;Адрес: 
Московский тракт;Продукты, Кофе, Перекус, Мороженное, Напитки, Выпечка;меньше 5 мин, 5-15 мин, от 15 мин;Маленький, Средний, Большой;Нет, Да;Хорошая;Абрикос;Московский тракт, 17
Троллейбусная остановка;Продукты, Кофе, Перекус, Мороженное, Напитки, Выпечка;меньше 5 мин, 5-15 мин, от 15 мин;Маленький, Средний, Большой;Нет, Да;Хорошая;Ярче;Советская ул., 46
Московский тракт;Прием пищи;от 15 мин;Средний, Большой;Да;Хорошая;Безумно;Московский тракт, 17
Общежитие 5 или 6;Прием пищи;от 15 мин;Средний, Большой;Да;Хорошая;Rostick's;просп. Ленина, 51а
Главный корпус;Блины;от 15 мин;Средний, Большой;Да;Хорошая, Плохая;Сибирские блины;просп. Ленина, 36
Главный корпус;Прием пищи, Кофе, Выпечка;5-15 мин, от 15 мин;Средний, Большой;Нет, Да;Хорошая, Плохая;Starbooks;просп. Ленина, 36, корп. 9
Кампусная территория ;Прием пищи, Кофе, Выпечка;5-15 мин, от 15 мин;Средний, Большой;Нет, Да;Хорошая;Starbooks;Московский тракт, 2г
Московский тракт;Кофе;меньше 5 мин, 5-15 мин, от 15 мин;Маленький, Средний, Большой;Нет, Да;Хорошая, Плохая;Кофейный аппарат;Московский тракт, 2 ст7
Главный корпус;Прием пищи; от 15 мин;Средний, Большой;Да;Хорошая, Плохая;Столовая №1;просп. Ленина, 36
Общежитие 5 или 6;Продукты, Перекус, Мороженное, Напитки, Выпечка;5-15 мин, от 15 мин;Маленький, Средний, Большой;Нет, Да;Хорошая;Бристоль;Советская улица, 63 
Общежитие 5 или 6;Кофе;5-15 мин, от 15 мин;Большой;Нет, Да;Хорошая;Точка;просп. Ленина, 47а
Автобусная остановка;Мороженное;5-15 мин, от 15 мин;Большой;Нет, Да;Хорошая;33 Пингвина;просп. Ленина, 63/1 киоск
Автобусная остановка;Выпечка, Кофе;от 15 мин;Большой;Нет, Да;Хорошая;Baba Roma;просп. Ленина, 63
